"value","Habitat","color"
0,"No input data available ","#272825"
111,"Closed forest","#5C7839"
126,"Open forest","#5CBB39"
20,"Shrubs","#FFBB22"
30,"Herbaceous vegetation","#FFFF4C"
90,"Herbaceous wetland","#0096A0"
100,"Moss and lichen","#F4E19C"
60,"Bare / sparse vegetation","#B4B4B4"
40,"Cultivated and managed vegetation/agriculture (cropland)","#F096FF"
50,"Urban / built up ","#FA0000"
70,"Snow and Ice","#F0F0F0"
80,"Permanent water bodies ","#0032C8"
200,"Open sea","#000080"
