"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"33","Akodon sylvanus","Yungas; Chaco Seco","","selvas o bosques","pastizales","DESCONOCIDA","700","2400"
"34","Akodon toba","Yungas; Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","0","1000"
"35","Alouatta caraya","Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques","forestaciones; urbano o periurbano","MEDIA","0","760"
"36","Alouatta guariba","Selva Paranaense","","selvas o bosques","forestaciones","MEDIA","200","760"
"37","Andalgalomys olrogi","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco","","arbustales","selvas o bosques; pastizales","DESCONOCIDA","175","1000"
"38","Andalgalomys pearsoni","Chaco Seco","","arbustales","pastizales","DESCONOCIDA","650","650"
"39","Andalgalomys roigi","","","","","SIN DATOS","",""
"40","Andinomys edax","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones","","pastizales","selvas o bosques","DESCONOCIDA","650","4800"
"41","Anoura caudifer","Yungas","","selvas o bosques; palustre","urbano o periurbano; canales artificiales","BAJA","450","1500"
"42","Aotus azarae","Chaco Seco; Chaco Húmedo","","selvas o bosques","","DESCONOCIDA","75","200"
"43","Arctocephalus australis","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","MEDIA","0","17"
"44","Arctocephalus gazella","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","BAJA","0","50"
"45","Arctocephalus tropicalis","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"46","Artibeus fimbriatus","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","","BAJA","54","762"
"47","Artibeus lituratus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques","cultivos o agrícolas; urbano o periurbano","ALTA","0","2620"
"48","Artibeus planirostris","Yungas; Chaco Húmedo","","selvas o bosques","","MEDIA","80","1600"
"49","Auliscomys sublimis","Altos Andes; Puna; Monte de Sierras y Bolsones","","estepas","","BAJA","3200","5500"
"50","Balaenoptera acutorostrata","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"51","Balaenoptera bonaerensis","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"52","Balaenoptera borealis","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"53","Balaenoptera edeni","","","oceánicos","costeros","DESCONOCIDA","",""
"54","Balaenoptera musculus","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"55","Balaenoptera physalus","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","BAJA","",""
"56","Berardius arnuxii","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"57","Bibimys chacoensis","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","pastizales","selvas o bosques","MEDIA","",""
"58","Bibimys torresi","Delta e Islas del Paraná","","palustre","pastizales","MUY BAJA","0","50"
"59","Blarinomys breviceps","Selva Paranaense","","selvas o bosques","","MEDIA","0","1700"
"60","Blastocerus dichotomus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná","","palustre","selvas o bosques; pastizales; forestaciones","MEDIA","0","100"
"61","Bradypus variegatus","","","","","SIN DATOS","",""
"62","Brucepattersonius guarani","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","360","360"
"63","Brucepattersonius iheringi","Selva Paranaense","","selvas o bosques","","MUY BAJA","0","1000"
"64","Brucepattersonius misionensis","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","",""
"65","Brucepattersonius paradisus","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","197","197"
"66","Cabassous chacoensis","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","BAJA","0","1400"
"67","Cabassous tatouay","Campos y Malezales; Selva Paranaense","","selvas o bosques; pastizales","cultivos o agrícolas; forestaciones","MEDIA","0","700"
"68","Callicebus pallescens","","Chaco Seco","selvas o bosques","","SIN DATOS","",""
"69","Calomys boliviae/ fecundus","Yungas; Chaco Seco","","selvas o bosques; cultivos o agrícolas","arbustales","MEDIA","400","2430"
"70","Calomys callidus","Chaco Húmedo; Espinal; Delta e Islas del Paraná; Pampa","","arbustales; pastizales","selvas o bosques","BAJA","",""
"71","Calomys callosus","Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas","MEDIA","70","600"
"72","Calomys laucha","Chaco Seco; Chaco Húmedo; Espinal; Pampa","Campos y Malezales","arbustales; pastizales; cultivos o agrícolas","selvas o bosques; pasturas ganaderas","ALTA","",""
"73","Calomys lepidus","Altos Andes; Puna","","pastizales","rupestre","MEDIA","2600","5000"
"74","Calomys musculinus","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica","","selvas o bosques; arbustales; pastizales; estepas","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","ALTA","0","3900"
"75","Calomys tener","Selva Paranaense","Campos y Malezales","arbustales; pastizales","selvas o bosques; cultivos o agrícolas","DESCONOCIDA","",""
"76","Calomys venustus","Chaco Seco; Espinal; Pampa","","arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","",""
"77","Caluromys lanatus","Selva Paranaense","","selvas o bosques","urbano o periurbano","MEDIA","200","2600"
"78","Calyptophractus retusus","Chaco Seco","","selvas o bosques; arbustales","","MEDIA","100","1100"
"79","Caperea marginata","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"80","Carollia perspicillata","Campos y Malezales; Selva Paranaense","Chaco Húmedo","selvas o bosques","arbustales","BAJA","93","762"
"81","Castoria angustidens","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","300","1800"
"82","Cavia aperea","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","400","3000"
"83","Cavia tschudii","Yungas; Monte de Sierras y Bolsones","","pastizales; rupestre","","DESCONOCIDA","0","4500"
"84","Cephalorhynchus commersonii","Islas del Atlántico Sur; X Mar Argentino","","costeros","oceánicos","MEDIA","",""
"85","Cephalorhynchus eutropia","","","costeros","oceánicos","DESCONOCIDA","",""
"86","Cerdocyon thous","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales; forestaciones","pastizales; palustre; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","ALTA","0","3000"
"87","Chacodelphys formosa","Chaco Húmedo; Campos y Malezales","","pastizales","","DESCONOCIDA","50","200"
"88","Chaetophractus vellerosus","Altos Andes; Puna; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Espinal; Pampa","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","4600"
"89","Chaetophractus villosus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Espinal; Pampa; Estepa Patagónica","","arbustales; pastizales; estepas; cultivos o agrícolas; pasturas ganaderas","selvas o bosques; rupestre; forestaciones; urbano o periurbano","ALTA","0","1500"
"90","Chinchilla chinchilla","Altos Andes; Puna","","pastizales; rupestre","","MUY BAJA","3000","5000"
"91","Chironectes minimus","Selva Paranaense","Campos y Malezales","selvas o bosques; rios o arroyos","","MEDIA","50","500"
"92","Chlamyphorus truncatus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Pampa","","selvas o bosques; arbustales","pastizales; estepas; cultivos o agrícolas; urbano o periurbano","BAJA","0","1500"
"93","Chrotopterus auritus","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques","","BAJA","0","1700"
"94","Chrysocyon brachyurus","Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná","","pastizales; palustre","selvas o bosques; cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","MEDIA","35","600"
"95","Coendou bicolor","Yungas","","selvas o bosques","cultivos o agrícolas","BAJA","350","1700"
"96","Coendou prehensilis","Yungas","","selvas o bosques","cultivos o agrícolas; forestaciones","DESCONOCIDA","350","1500"
"97","Coendou spinosus","Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques","pastizales; forestaciones; urbano o periurbano","MEDIA","0","2150"
"98","Conepatus chinga","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense; Estepa Patagónica","","arbustales; pastizales; estepas","selvas o bosques; forestaciones; pasturas ganaderas","MEDIA","0","4326"
"99","Cryptonanus chacoensis","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Delta e Islas del Paraná; Pampa; Selva Paranaense","Espinal","selvas o bosques; pastizales; palustre","cultivos o agrícolas","MEDIA","50","1800"
"100","Cryptonanus ignitus","","","","","SIN DATOS","",""
"101","Ctenomys “yolandae”","Chaco Húmedo; Espinal; Delta e Islas del Paraná","","","","ALTA","0","100"
"102","Ctenomys argentinus","Chaco Seco; Chaco Húmedo","","pastizales","","BAJA","",""
"103","Ctenomys australis","Pampa","","pastizales","urbano o periurbano","BAJA","0","50"
"104","Ctenomys azarae","Monte de Llanuras y Mesetas; Espinal","","arbustales; pastizales; estepas","pasturas ganaderas; urbano o periurbano","MEDIA","100","400"
"105","Ctenomys bergi","Chaco Seco","","pastizales","","BAJA","450","1000"
"106","Ctenomys bonettoi","Chaco Húmedo","","pastizales","","BAJA","",""
"107","Ctenomys chasiquensis","Espinal; Pampa","","arbustales; pastizales","pasturas ganaderas","BAJA","0","30"
"108","Ctenomys colburni","Estepa Patagónica","","estepas","","DESCONOCIDA","600","900"
"109","Ctenomys coludo","Monte de Sierras y Bolsones","","arbustales","urbano o periurbano","MEDIA","1181","1181"
"110","Ctenomys conoveri","Chaco Seco","","arbustales; pastizales","pasturas ganaderas","MEDIA","175","400"
"111","Ctenomys dorbignyi","Esteros del Iberá","","arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","80"
"112","Ctenomys emilianus","Estepa Patagónica","","estepas","","DESCONOCIDA","800","805"
"113","Ctenomys famosus","Monte de Sierras y Bolsones","","pastizales","arbustales; urbano o periurbano","ALTA","1023","3800"
"114","Ctenomys fochi","Chaco Seco","","arbustales","urbano o periurbano","ALTA","407","443"
"115","Ctenomys fodax","Estepa Patagónica","","estepas","","DESCONOCIDA","575","598"
"116","Ctenomys frater","Yungas","","selvas o bosques; pastizales","","MEDIA","2000","4500"
"117","Ctenomys haigi","Bosque Patagónico; Estepa Patagónica","","arbustales; pastizales; estepas; palustre","","DESCONOCIDA","600","1800"
"118","Ctenomys johannis","Monte de Llanuras y Mesetas","","arbustales","urbano o periurbano","MEDIA","593","593"
"119","Ctenomys juris","Chaco Seco","","arbustales; pastizales","selvas o bosques","DESCONOCIDA","500","1000"
"120","Ctenomys knighti","Monte de Sierras y Bolsones; Chaco Seco","","arbustales; pastizales","urbano o periurbano","BAJA","600","3100"
"121","Ctenomys latro","Chaco Seco","","arbustales","urbano o periurbano","DESCONOCIDA","400","700"
"122","Ctenomys magellanicus","Bosque Patagónico; Estepa Patagónica","","pastizales; estepas","selvas o bosques; pasturas ganaderas","BAJA","0","800"
"123","Ctenomys maulinus","Altos Andes; Bosque Patagónico; Estepa Patagónica","","arbustales","","DESCONOCIDA","900","3200"
"124","Ctenomys mendocinus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Espinal","","arbustales; pastizales","estepas; cultivos o agrícolas; urbano o periurbano","MEDIA","200","3400"
"125","Ctenomys occultus","Chaco Seco","","pastizales","","MUY BAJA","304","304"
"126","Ctenomys opimus","Altos Andes; Puna; Monte de Sierras y Bolsones","","arbustales","","DESCONOCIDA","2000","5000"
"127","Ctenomys osvaldoreigi","Chaco Seco","","arbustales; pastizales; rupestre","pasturas ganaderas","BAJA","1800","2000"
"128","Ctenomys pearsoni","Delta e Islas del Paraná; Pampa","","pastizales","arbustales; urbano o periurbano; canales artificiales","MEDIA","0","300"
"129","Ctenomys perrensi","Esteros del Iberá","","arbustales; pastizales","selvas o bosques; rupestre; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","80"
"130","Ctenomys pontifex","Altos Andes","","arbustales; estepas","","BAJA","2400","3000"
"131","Ctenomys porteousi","Pampa","","pastizales","pasturas ganaderas","BAJA","0","50"
"132","Ctenomys pundti","Espinal; Pampa","","pastizales","arbustales; cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","0","50"
"133","Ctenomys rionegrensis","Espinal; Delta e Islas del Paraná; Pampa","","arbustales; pastizales","urbano o periurbano","MEDIA","0","100"
"134","Ctenomys roigi","Esteros del Iberá","","arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","0","80"
"135","Ctenomys rosendopascuali","Chaco Seco","","pastizales","arbustales","DESCONOCIDA","100","260"
"136","Ctenomys saltarius","Monte de Sierras y Bolsones; Chaco Seco","Yungas","pastizales; estepas","arbustales","DESCONOCIDA","1700","3200"
"137","Ctenomys scagliai","Yungas; Monte de Sierras y Bolsones","","pastizales; estepas","","DESCONOCIDA","2200","2800"
"138","Ctenomys sericeus","Estepa Patagónica","","estepas","","DESCONOCIDA","550","700"
"139","Ctenomys sociabilis","Estepa Patagónica","","arbustales; pastizales; estepas","","DESCONOCIDA","750","1800"
"140","Ctenomys talarum","Espinal; Pampa","","pastizales; costeros","arbustales; cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","0","15"
"141","Ctenomys tuconax","Yungas; Chaco Seco","","pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","360","3200"
"142","Ctenomys tucumanus","Yungas; Chaco Seco","","arbustales; pastizales","cultivos o agrícolas; urbano o periurbano","MEDIA","470","1500"
"143","Ctenomys tulduco","Puna","","pastizales","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","DESCONOCIDA","1080","2700"
"144","Ctenomys validus","Monte de Llanuras y Mesetas","","pastizales","","DESCONOCIDA","600","700"
"145","Ctenomys viperinus","Yungas","","selvas o bosques","","DESCONOCIDA","320","2500"
"146","Cuniculus paca","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques","pastizales; cultivos o agrícolas","BAJA","0","1600"
"147","Cynomops abrasus","Chaco Seco; Campos y Malezales; Selva Paranaense","","selvas o bosques; palustre","urbano o periurbano; canales artificiales","MEDIA","84","531"
"148","Cynomops paranus","Chaco Húmedo; Delta e Islas del Paraná","","palustre","","DESCONOCIDA","66","66"
"149","Cynomops planirostris","Yungas; Campos y Malezales","","selvas o bosques; palustre","urbano o periurbano","MEDIA","160","1490"
"150","Dasyprocta azarae","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","","BAJA","0","700"
"151","Dasyprocta sp.","Yungas","Chaco Seco","selvas o bosques","cultivos o agrícolas","MEDIA","",""
"152","Dasypterus ega","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales","forestaciones; urbano o periurbano","MEDIA","10","1450"
"153","Dasypus hybridus","Chaco Húmedo; Campos y Malezales; Espinal; Pampa","Chaco Seco","pastizales","selvas o bosques; arbustales; cultivos o agrícolas; pasturas ganaderas","MEDIA","0","1000"
"154","Dasypus mazzai","Yungas; Chaco Seco","Chaco Húmedo","selvas o bosques; arbustales","pastizales","DESCONOCIDA","450","1800"
"155","Dasypus novemcinctus","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","MEDIA","0","2000"
"156","Dasypus septemcinctus","","","","","SIN DATOS","",""
"157","Delomys dorsalis","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","100","600"
"158","Delphinus delphis","","","costeros; oceánicos","","DESCONOCIDA","",""
"159","Deltamys kempi","Delta e Islas del Paraná; Pampa","","palustre","selvas o bosques; arbustales; pastizales","MUY BAJA","0","60"
"160","Desmodus cf. D. draculae","","","","","SIN DATOS","",""
"161","Desmodus rotundus","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","Monte de Llanuras y Mesetas","selvas o bosques; arbustales; rupestre","pastizales; forestaciones; pasturas ganaderas; urbano o periurbano","ALTA","0","2700"
"162","Diaemus youngi","Yungas; Campos y Malezales; Selva Paranaense","","selvas o bosques","cultivos o agrícolas","DESCONOCIDA","200","400"
"163","Didelphis albiventris","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; urbano o periurbano","arbustales; pastizales; cultivos o agrícolas; forestaciones; pasturas ganaderas","ALTA","0","1900"
"164","Didelphis aurita","Selva Paranaense","","selvas o bosques","forestaciones","BAJA","0","750"
"165","Dolichotis patagonum","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Pampa; Estepa Patagónica","","arbustales; estepas","selvas o bosques; pastizales; pasturas ganaderas","MEDIA","0","1450"
"166","Dolichotis salinicola","Chaco Seco","","selvas o bosques; arbustales; pastizales","estepas; cultivos o agrícolas","BAJA","400","800"
"167","Dromiciops bozinovici","","","","","SIN DATOS","",""
"168","Dromiciops gliroides","Bosque Patagónico","","selvas o bosques; arbustales","forestaciones","MEDIA","0","1600"
"169","Dusicyon australis","Islas del Atlántico Sur","","pastizales; estepas","","SIN DATOS","0","126"
"170","Dusicyon avus","Monte de Llanuras y Mesetas; Espinal; Pampa; Estepa Patagónica","","arbustales; pastizales; estepas","","SIN DATOS","0","1900"
"171","Eira barbara","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Selva Paranaense","Esteros del Iberá","selvas o bosques; arbustales","pastizales; cultivos o agrícolas; forestaciones","MEDIA","0","2600"
"172","Eligmodontia bolsonensis","Altos Andes; Puna; Monte de Sierras y Bolsones","","arbustales","estepas","DESCONOCIDA","700","3800"
"173","Eligmodontia moreni","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas","","arbustales; pastizales","","MEDIA","500","3900"
"174","Eligmodontia morgani","Monte de Llanuras y Mesetas; Estepa Patagónica","","arbustales; pastizales; estepas","forestaciones","BAJA","","1280"
"175","Eligmodontia puerulus","Altos Andes; Puna","","arbustales; estepas","","DESCONOCIDA","3200","4800"
"176","Eligmodontia typus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Espinal; Pampa; Estepa Patagónica","","arbustales; estepas","","MEDIA","0","1000"
"177","Eptesicus brasiliensis","Chaco Húmedo; Espinal; Delta e Islas del Paraná","","selvas o bosques; pastizales","cultivos o agrícolas; embalses o diques","BAJA","31","77"
